INDIVIDUALS	Longitude	Latitude
red257	-59.18	49.76
red258	-59.18	49.76
red259	-59.18	49.76
red260	-59.18	49.76
red261	-59.18	49.76
red262	-59.18	49.76
red263	-59.18	49.76
red264	-59.18	49.76
red265	-59.18	49.76
red266	-59.18	49.76
red267	-59.18	49.76
red268	-59.18	49.76
red269	-59.18	49.76
red270	-59.18	49.76
red271	-59.18	49.76
red272	-59.18	49.76
red273	-59.18	49.76
red274	-59.18	49.76
red275	-59.18	49.76
red276	-59.18	49.76
red277	-59.18	49.76
red278	-59.18	49.76
red279	-59.18	49.76
red280	-59.18	49.76
red281	-59.18	49.76
red282	-59.18	49.76
red283	-59.18	49.76
red284	-59.18	49.76
red285	-59.18	49.76
red286	-59.18	49.76
red225	-56.03	44.87
red226	-56.03	44.87
red227	-56.03	44.87
red228	-56.03	44.87
red229	-56.03	44.87
red230	-56.03	44.87
red231	-56.03	44.87
red232	-56.03	44.87
red233	-56.03	44.87
red234	-56.03	44.87
red235	-56.03	44.87
red236	-56.03	44.87
red237	-56.03	44.87
red238	-56.03	44.87
red239	-56.03	44.87
red240	-56.03	44.87
red241	-56.03	44.87
red242	-56.03	44.87
red243	-56.03	44.87
red244	-56.03	44.87
red245	-56.03	44.87
red246	-56.03	44.87
red247	-56.03	44.87
red248	-56.03	44.87
red249	-56.03	44.87
red250	-56.03	44.87
red251	-56.03	44.87
red252	-56.03	44.87
red253	-56.03	44.87
red254	-56.03	44.87
red255	-56.03	44.87
red256	-56.03	44.87
red081	-67.07	42.32
red082	-67.07	42.32
red083	-67.07	42.32
red084	-67.07	42.32
red085	-67.07	42.32
red086	-67.07	42.32
red087	-67.07	42.32
red088	-67.07	42.32
red089	-67.07	42.32
red090	-67.07	42.32
red091	-67.07	42.32
red092	-67.07	42.32
red093	-67.07	42.32
red094	-67.07	42.32
red095	-67.07	42.32
red096	-67.07	42.32
red097	-67.07	42.32
red098	-67.07	42.32
red099	-67.07	42.32
red100	-67.07	42.32
red101	-67.07	42.32
red102	-67.07	42.32
red103	-67.07	42.32
red104	-67.07	42.32
red105	-67.07	42.32
red106	-67.07	42.32
red107	-67.07	42.32
red325	-47.04	46.51
red326	-47.04	46.51
red327	-47.04	46.51
red328	-47.23	47.01
red329	-47.23	47.01
red331	-47.23	47.01
red334	-50.53	50.27
red335	-50.53	50.27
red336	-50.53	50.27
red337	-50.53	50.27
red338	-50.53	50.27
red340	-50.67	50.64
red341	-50.67	50.64
red342	-50.67	50.64
red343	-50.67	50.64
red344	-50.67	50.64
red345	-50.67	50.64
red346	-50.67	50.64
red347	-50.67	50.64
red348	-50.67	50.64
red349	-50.67	50.64
red350	-50.67	50.64
red365	-53.77	52.72
red369	-53.77	52.72
red371	-53.77	52.72
red373	-53.77	52.72
red377	-54.38	53.14
red383	-54.38	53.14
red421	-47.68	46.05
red422	-47.68	46.05
red423	-47.68	46.05
red424	-47.68	46.05
red425	-47.68	46.05
red426	-47.68	46.05
red427	-47.68	46.05
red428	-47.68	46.05
red429	-47.68	46.05
red430	-47.68	46.05
red431	-47.68	46.05
red432	-47.68	46.05
red433	-47.27	46.36
red434	-47.27	46.36
red435	-47.27	46.36
red436	-47.27	46.36
red437	-47.27	46.36
red438	-47.27	46.36
red439	-47.27	46.36
red440	-47.27	46.36
red441	-47.27	46.36
red442	-47.27	46.36
red443	-47.27	46.36
red444	-47.27	46.36
red445	-47.27	46.36
red446	-47.27	46.36
red447	-47.27	46.36
red448	-47.27	46.36
red449	-47.27	46.36
red450	-47.27	46.36
red451	-47.27	46.36
red452	-47.27	46.36
red453	-47.27	46.36
red454	-47.27	46.36
red455	-47.27	46.36
red193	-59.74	48.3
red194	-59.74	48.3
red195	-59.74	48.3
red196	-59.74	48.3
red197	-59.74	48.3
red198	-59.74	48.3
red199	-59.74	48.3
red200	-59.74	48.3
red201	-59.74	48.3
red202	-59.74	48.3
red203	-59.74	48.3
red204	-59.74	48.3
red205	-59.74	48.3
red206	-59.74	48.3
red207	-59.74	48.3
red208	-59.74	48.3
red209	-59.74	48.3
red210	-59.74	48.3
red211	-59.74	48.3
red212	-59.74	48.3
red213	-59.74	48.3
red214	-59.74	48.3
red215	-59.74	48.3
red216	-59.74	48.3
red217	-59.74	48.3
red218	-59.74	48.3
red219	-59.74	48.3
red220	-59.74	48.3
red221	-59.74	48.3
red222	-59.74	48.3
red223	-59.74	48.3
red224	-59.74	48.3
red108	-57.95	49.57
red109	-57.95	49.57
red110	-57.95	49.57
red111	-57.95	49.57
red112	-57.95	49.57
red113	-57.95	49.57
red114	-57.95	49.57
red115	-57.95	49.57
red116	-57.95	49.57
red117	-57.95	49.57
red118	-57.95	49.57
red119	-57.95	49.57
red120	-57.95	49.57
red121	-57.95	49.57
red122	-57.95	49.57
red123	-57.95	49.57
red124	-57.95	49.57
red125	-57.95	49.57
red126	-57.95	49.57
red127	-57.95	49.57
red128	-57.95	49.57
red129	-57.95	49.57
red130	-57.95	49.57
red131	-57.95	49.57
red132	-57.95	49.57
red133	-57.95	49.57
red134	-57.95	49.57
red135	-57.95	49.57
red136	-57.95	49.57
red137	-57.95	49.57
red351	-53.77	52.72
red352	-53.77	52.72
red353	-53.77	52.72
red354	-53.77	52.72
red355	-53.77	52.72
red356	-53.77	52.72
red357	-53.77	52.72
red358	-53.77	52.72
red359	-53.77	52.72
red360	-53.77	52.72
red361	-53.77	52.72
red362	-53.77	52.72
red363	-53.77	52.72
red364	-53.77	52.72
red366	-53.77	52.72
red367	-53.77	52.72
red368	-53.77	52.72
red370	-53.77	52.72
red372	-53.77	52.72
red374	-54.38	53.14
red375	-54.38	53.14
red376	-54.38	53.14
red378	-54.38	53.14
red379	-54.38	53.14
red380	-54.38	53.14
red381	-54.38	53.14
red382	-54.38	53.14
red384	-54.38	53.14
red385	-54.38	53.14
red665	-56.17	49.5
red666	-49.02	44.47
red667	-49.02	44.47
red668	-49.02	44.47
red669	-49.02	44.47
red670	-49.02	44.47
red671	-49.02	44.47
red672	-49.02	44.47
red673	-49.02	44.47
red674	-49.02	44.47
red675	-49.02	44.47
red676	-49.02	44.47
red677	-49.02	44.47
red678	-49.02	44.47
red679	-49.02	44.47
red680	-49.02	44.47
red682	-50.98	43.06
red683	-50.98	43.06
red684	-50.98	43.06
red685	-50.98	43.06
red686	-50.98	43.06
red687	-50.98	43.06
red688	-50.98	43.06
red689	-50.98	43.06
red690	-50.98	43.06
red691	-50.98	43.06
red692	-50.98	43.06
red693	-50.98	43.06
red694	-50.98	43.06
red695	-50.98	43.06
red386	-48.51	48.04
red387	-48.51	48.04
red388	-48.51	48.04
red389	-48.51	48.04
red390	-48.51	48.04
red391	-48.51	48.04
red392	-48.51	48.04
red393	-48.51	48.04
red394	-48.51	48.04
red395	-48.51	48.04
red396	-48.51	48.04
red397	-48.51	48.04
red398	-48.51	48.04
red399	-48.51	48.04
red400	-48.51	48.04
red401	-49.08	48.31
red402	-49.08	48.31
red403	-49.08	48.31
red404	-49.08	48.31
red405	-49.08	48.31
red406	-49.08	48.31
red407	-49.08	48.31
red408	-49.08	48.31
red409	-49.08	48.31
red410	-49.08	48.31
red411	-49.14	48.36
red412	-49.14	48.36
red413	-49.14	48.36
red414	-49.14	48.36
red415	-49.34	48.31
red416	-49.34	48.31
red417	-49.34	48.31
red418	-49.34	48.31
red419	-49.34	48.31
red420	-49.34	48.31
red700	-54.44	44.93
red702	-54.44	44.93
red703	-54.44	44.93
red704	-54.44	44.93
red706	-54.44	44.93
red707	-54.44	44.93
red708	-54.44	44.93
red709	-54.44	44.93
red710	-54.44	44.93
red712	-53.96	44.53
red790	-54.44	44.93
red791	-54.44	44.93
red792	-54.44	44.93
red794	-54.44	44.93
red795	-54.44	44.93
red796	-54.44	44.93
red797	-54.44	44.93
red798	-53.96	44.53
red800	-53.96	44.53
red801	-53.96	44.53
red802	-53.96	44.53
red803	-53.96	44.53
red804	-53.96	44.53
red139	-65.41	49.82
red144	-65.41	49.82
red145	-65.41	49.82
red146	-65.41	49.82
red148	-65.41	49.82
red150	-65.41	49.82
red151	-65.41	49.82
red152	-65.41	49.82
red153	-65.41	49.82
red154	-65.41	49.82
red155	-65.41	49.82
red162	-65.41	49.82
red163	-65.41	49.82
red165	-65.41	49.82
red166	-65.41	49.82
